district,latitude,longitude,address,postalcode,city,name
"1","54.81007248740868","9.423256056067954","Apenrader Str. 164","24939","Flensburg","Altes Gymnasium (Neubau)"
"2","54.801824416436354","9.413746669560243","Drosselweg 12","24939","Flensburg","Bildungszentrum am Sandberg"
"3","54.80397273801375","9.419291456401824","Alter Kupfermühlenweg 15","24939","Flensburg","Comenius-Schule"
"4","54.80395418649013","9.419291456067747","Alter Kupfermühlenweg 15","24939","Flensburg","Cornelius Hansen-Skolen 1"
"5","54.79621253618477","9.42380901373898","Jens-Due-Weg 2","24939","Flensburg","Cornelius Hansen-Skolen 2"
"6","54.794382101317076","9.416935798395718","Waldstraße 44","24939","Flensburg","Dänische Schule Weiche 1"
"7","54.794400676926706","9.41695725767159","Waldstraße 44","24939","Flensburg","Dänische Schule Weiche 2"
"8","54.79262963438992","9.431029727231483","Norderstraße 58","24939","Flensburg","Die Mürwiker 1 (Werkstatt Treeneweg)"
"9","54.79259870650104","9.431051184903072","Norderstraße 58","24939","Flensburg","Die Mürwiker 2 (Werkstatt Treeneweg)"
"10","54.78895237557194","9.428438384902911","Selckstraße 1","24937","Flensburg","Fachsch.f.Techn.u.Gestaltung"
"11","54.79441302784166","9.416925069559923","Waldstraße 44","24939","Flensburg","Falkenbergschule 1"
"12","54.7826979223916","9.41054867141005","Emil-Nolde-Straße 31","24937","Flensburg","Falkenbergschule 2"
"13","54.782975269836136","9.420955998395321","Marienallee 5","24937","Flensburg","Fördegymnasium 1"
"14","54.776531565143806","9.421369184902451","Friesische Lücke 7","24937","Flensburg","Fördegymnasium 2"
"15","54.78266079980537","9.410505756066868","Emil-Nolde-Straße 31","24937","Flensburg","Gemeindehaus/Begegnungsstätte St. Jürgen"
"16","54.758166988296026","9.40190776955857","Sylter Str. 7","24941","Flensburg","Gemeinschaftsschule Flensburg-West"
"17","54.76117270742577","9.395078227230252","Alter Husumer Weg 207","24941","Flensburg","Gesundheitshaus 1"
"18","54.76119127858362","9.395142600245023","Alter Husumer Weg 207","24941","Flensburg","Gesundheitshaus 2"
"19","54.77274907555752","9.428753884902333","Lundweg 30","24941","Flensburg","Goetheschule Haus 1"
"20","54.77274907555752","9.428743156066538","Lundweg 30","24941","Flensburg","Handwerkskammer"
"21","54.780141117719076","9.430474027230996","Schützenkuhle 22","24937","Flensburg","Heilandskapelle"
"22","54.784061822720496","9.441239692571811","Johanniskirchhof 7","24937","Flensburg","Jens Jessen-Skolen"
"23","54.77858365949394","9.445553811887752","Schulze-Delitzsch-Straße 2","24943","Flensburg","Jörgensby-Skolen"
"24","54.78377404965506","9.448013984902731","Schulgang 2","24943","Flensburg","Käte-Lassen-Schule"
"25","54.78656429708547","9.442879813738596","Bismarckstraße 41","24943","Flensburg","Kindertagesstätte Neustadt"
"26","54.788135178322335","9.4506699849029","Mommsenstraße 45","24943","Flensburg","Petrischule"
"27","54.79117018228863","9.442545998395596","Jürgensgaarder Str. 1","24943","Flensburg","Regionales Berufsbildungszentrum HLA"
"28","54.798646404249","9.457017598395945","Treeneweg 10","24943","Flensburg","Schule Adelby 1"
"29","54.78167675097762","9.466413184902637","Ringstraße 1","24943","Flensburg","Schule Adelby 2"
"30","54.78165200196573","9.466402456066842","Ringstraße 1","24943","Flensburg","Schule Auf der Rude 1"
"31","54.78167717644236","9.476306413738472","Taruper Hauptstraße 53","24943","Flensburg","Schule Auf der Rude 2"
"32","54.79215895078732","9.47419072723147","Brahmsstraße 2-4","24943","Flensburg","Schule Engelsby 1"
"33","54.79217132208026","9.474201456067265","Brahmsstraße 2-4","24943","Flensburg","Schule Engelsby 2"
"34","54.79217132208026","9.47419072723147","Brahmsstraße 2-4","24943","Flensburg","Schule Engelsby 3"
"35","54.793795873853014","9.45858594072414","Bohlberg 56-58","24943","Flensburg","Schule Engelsby 4"
"36","54.79862785028032","9.457039056067535","Treeneweg 10","24943","Flensburg","Schule Friedheim 1"
"37","54.80230518951768","9.465153956067653","Elbestraße 10","24943","Flensburg","Schule Friedheim 2"
"38","54.80667649936074","9.457297271411","Mürwiker Str. 155A","24944","Flensburg","Schule Friedheim 3"
"39","54.79222080721424","9.474244371410446","Brahmsstraße 2-4","24943","Flensburg","Schule Friedheim 4"
"40","54.8023732145051","9.465186142575039","Elbestraße 10","24943","Flensburg","Schule Fruerlund"
"41","54.811982232783905","9.477997698396418","Marrenshof 1","24944","Flensburg","Taruphus"
"42","54.8120131458427","9.478019156068008","Marrenshof 1","24944","Flensburg","Waldschule 1"
"43","54.8120131458427","9.478094257918574","Marrenshof 1","24944","Flensburg","Waldschule 2"
"44","54.811976050169314","9.477997698396418","Marrenshof 1","24944","Flensburg","Waldschule 3"
